Simulation Run Number	T-R Separation Distance (m)	Time Delay (ns)	Received Power (dBm)	 Phase (rad)	Azimuth AoD (degree)	Elevation AoD (degree)	Azimuth AoA (degree)	Elevation AoA (degree)	Path Loss (dB)	RMS Delay Spread (ns)	
            1.0	           39.1	                 130	            -70.3	          1.0	             78	            -23.9	            257.9	               24	             99.9	              8.8
            1.0	           39.1	                 133	            -81.9	          3.5	             75	            -23.1	            250.7	               51	            111.9	              3.0
            1.0	           39.1	                 137	            -82.2	          5.3	             79	            -23.1	            247.7	               24	            108.9	             11.9
            1.0	           39.1	                 140	            -82.3	          5.9	             83	            -22.4	            264.5	               21	            107.1	             12.1
            1.0	           39.1	                 144	            -74.1	          2.3	             68	            -20.9	            262.5	               35	            103.8	              3.9
            1.0	           39.1	                 148	            -74.8	          1.2	             70	            -21.0	            251.7	               33	            104.5	              4.7
            1.0	           39.1	                 152	            -83.3	          5.8	             79	            -24.0	            256.6	               21	            101.0	             10.9
            1.0	           39.1	                 156	            -94.4	          4.2	             62	            -18.9	            244.8	               35	            118.9	              6.0
            1.0	           39.1	                 160	            -83.2	          1.4	             70	            -24.7	            265.9	               36	            106.5	              6.9
            1.0	           39.1	                 165	            -82.3	          6.2	             78	            -23.9	            254.5	               18	            104.8	             14.8
            1.0	           39.1	                 169	            -84.2	          3.5	             74	            -24.8	            252.9	               27	            104.5	             13.9
            1.0	           39.1	                 173	            -97.6	          2.9	             83	            -22.6	            275.5	               26	            124.5	             19.6
            1.0	           39.1	                 178	            -88.3	          4.8	             89	            -22.4	            248.2	               29	            117.3	             17.6
            1.0	           39.1	                 182	            -89.3	          1.3	             78	            -25.7	            256.1	                1	            118.9	             13.7
            1.0	           39.1	                 187	            -87.7	          0.5	             55	            -24.5	            281.5	               29	            117.7	              1.1
            1.0	           39.1	                 191	            -93.1	          2.2	             70	            -26.4	            276.8	               25	            121.9	             20.0
            1.0	           39.1	                 196	            -89.4	          5.0	             80	            -23.9	            260.6	               21	            101.8	             10.7
            1.0	           39.1	                 200	            -96.5	          1.8	             67	            -23.7	            250.1	               18	            119.9	             31.8
            1.0	           39.1	                 205	            -99.7	          5.5	             67	            -18.1	            258.2	               25	            113.3	             14.8
            1.0	           39.1	                 210	            -97.4	          4.2	             82	            -24.8	            245.0	               43	            123.9	             37.9
            1.0	           39.1	                 215	            -92.9	          3.1	             68	            -27.4	            245.1	               14	            122.1	             18.2
            1.0	           39.1	                 219	           -112.9	          5.4	             87	            -22.3	            239.8	               17	            132.1	             25.0
            1.0	           39.1	                 224	           -100.4	          5.9	             68	            -26.2	            277.9	               31	            124.8	             27.7
            1.0	           39.1	                 229	            -97.2	          0.7	             65	            -28.9	            275.1	               22	            124.0	             21.5
            1.0	           39.1	                 234	           -106.3	          4.5	             69	            -21.2	            249.9	               42	            115.8	             11.5
            1.0	           39.1	                 308	           -107.6	          1.8	             79	            -26.5	            253.9	               27	            103.5	             10.8
            1.0	           39.1	                 311	           -107.0	          6.2	             73	            -17.8	            252.2	               13	            120.3	             27.9
            1.0	           39.1	                 314	           -112.9	          2.1	             69	            -19.9	            266.9	               13	            129.3	             37.0
            1.0	           39.1	                 317	            -98.8	          3.7	             69	            -28.2	            259.1	               25	            112.2	             29.0
            1.0	           39.1	                 321	           -110.0	          0.8	             70	            -20.9	            248.3	               36	            107.9	              5.1
            1.0	           39.1	                 325	           -112.0	          0.2	             82	            -26.5	            251.6	               25	            107.2	             12.0
            1.0	           39.1	                 328	           -114.8	          6.0	             63	            -22.1	            252.3	                8	            132.9	             49.9
            1.0	           39.1	                 332	           -113.3	          4.1	             76	            -22.9	            253.4	               30	            105.3	             13.0
            1.0	           39.1	                 336	           -119.0	          3.9	             79	            -25.4	            269.0	               30	            117.4	             13.9
            1.0	           39.1	                 340	           -120.0	          2.6	             78	            -21.0	            243.4	               34	            119.1	             12.5
            1.0	           39.1	                 343	           -115.7	          3.9	             80	            -22.6	            248.8	               26	            108.4	             12.9
            1.0	           39.1	                 347	           -123.8	          4.5	             67	            -27.9	            257.4	               26	            114.0	             30.8
            1.0	           39.1	                 351	           -122.6	          0.7	             73	            -27.3	            266.1	               32	            112.1	             11.3
            1.0	           39.1	                 355	           -128.3	          5.8	             58	            -23.9	            265.5	               33	            119.6	              5.3
            1.0	           39.1	                 359	           -124.5	          4.4	             68	            -22.3	            246.9	               26	            112.4	              8.9
            1.0	           39.1	                 364	           -123.6	          5.2	             65	            -26.0	            248.7	               33	            111.5	              4.8
            1.0	           39.1	                 368	           -124.7	          0.8	             64	            -22.8	            262.0	               20	            125.9	             45.2
            1.0	           39.1	                 372	           -123.1	          0.9	             87	            -21.4	            252.4	               26	            112.9	             17.6
            1.0	           39.1	                 376	           -120.0	          0.7	             85	            -25.5	            270.0	               29	            123.1	             17.8
            1.0	           39.1	                 380	           -123.1	          1.8	             67	            -21.3	            248.4	               25	            113.2	              9.7
            1.0	           39.1	                 384	           -126.8	          1.8	             66	            -27.4	            246.5	               31	            115.1	              6.5
            1.0	           39.1	                 389	           -135.6	          1.3	             76	            -21.0	            242.7	               27	            116.2	             10.2
            1.0	           39.1	                 393	           -130.5	          6.0	             79	            -16.8	            279.3	               35	            134.1	             21.7
            1.0	           39.1	                 507	           -140.7	          0.8	             68	            -24.3	            252.0	               29	            107.5	              8.1
            1.0	           39.1	                 510	           -134.0	          3.9	             62	            -23.4	            253.1	               17	            128.3	             31.7
            1.0	           39.1	                 514	           -134.8	          2.0	             72	            -21.8	            267.0	               30	            110.6	              9.1
            1.0	           39.1	                 518	           -142.1	          1.8	             64	            -22.4	            244.9	               30	            115.6	              5.3
            1.0	           39.1	                 523	           -145.5	          0.6	             62	            -21.2	            262.3	               26	            117.1	             13.8
            1.0	           39.1	                 527	           -134.4	          2.4	             78	            -26.9	            256.6	               23	            101.3	             10.1
            1.0	           39.1	                 532	           -143.4	          2.5	             65	            -22.3	            268.4	               29	            113.5	              8.2
            1.0	           39.1	                 537	           -150.8	          3.6	             94	            -22.7	            252.1	               25	            125.0	             16.8
            1.0	           39.1	                 542	           -149.1	          2.8	             84	            -22.4	            263.5	                9	            128.1	             17.3
            1.0	           39.1	                 548	           -145.0	          1.8	             71	            -24.4	            255.1	               27	            105.9	             14.7
            1.0	           39.1	                 553	           -144.3	          4.4	             53	            -23.8	            251.3	                3	            145.8	             37.0
            1.0	           39.1	                 684	           -160.0	          4.6	             63	            -23.7	            258.5	               23	            122.1	             41.1
            1.0	           39.1	                 686	           -160.0	          5.3	             83	            -28.2	            269.4	               34	            130.3	             24.2
            1.0	           39.1	                 689	           -160.0	          5.5	             65	            -25.3	            253.8	               28	            112.6	             14.5
            1.0	           39.1	                 693	           -160.0	          2.0	             59	            -20.1	            243.2	               50	            141.4	             18.6
            1.0	           39.1	                 696	           -160.0	          2.7	             59	            -24.4	            267.4	               16	            138.9	             43.8
            1.0	           39.1	                 699	           -160.0	          4.4	             69	            -22.3	            264.8	               25	            112.8	             15.2
            1.0	           39.1	                 702	           -160.0	          4.1	             74	            -26.4	            250.3	               27	            108.0	             15.4
            1.0	           39.1	                 706	           -160.0	          2.6	             83	            -24.9	            263.4	               22	            105.8	             11.8
            1.0	           39.1	                 709	           -160.0	          1.1	             63	            -25.4	            251.4	               21	            125.1	             33.9
            1.0	           39.1	                 713	           -160.0	          0.5	             71	            -22.7	            256.9	               30	            105.5	             11.4
            1.0	           39.1	                 716	           -160.0	          5.0	             74	            -21.1	            245.5	               21	            115.1	             14.1
            1.0	           39.1	                 720	           -160.0	          1.0	             77	            -23.5	            287.4	               67	            128.8	             13.0
            1.0	           39.1	                 723	           -160.0	          3.3	             70	            -26.2	            263.9	               30	            109.1	             11.4
            1.0	           39.1	                 727	           -160.0	          2.0	             70	            -18.9	            242.4	               31	            115.8	              5.9
            1.0	           39.1	                 731	           -160.0	          4.3	             70	            -27.6	            259.5	               29	            110.1	             18.9
            1.0	           39.1	                 734	           -160.0	          4.0	             79	            -22.3	            249.9	               23	            106.5	             12.1
            1.0	           39.1	                 738	           -160.0	          4.6	             68	            -23.0	            275.5	               25	            123.2	             23.5
            1.0	           39.1	                 742	           -160.0	          3.7	             73	            -24.4	            256.7	               13	            114.4	             18.2
            1.0	           39.1	                 745	           -160.0	          2.7	             68	            -24.5	            256.7	               37	            108.1	              4.1
            1.0	           39.1	                 749	           -160.0	          4.1	             81	            -22.7	            267.1	               21	            110.0	             12.2
            1.0	           39.1	                 753	           -160.0	          2.3	             75	            -22.4	            247.8	               30	            109.2	             11.1
            1.0	           39.1	                 756	           -160.0	          4.3	             73	            -26.2	            244.2	               31	            115.4	              9.2
            1.0	           39.1	                 760	           -160.0	          5.4	             67	            -22.3	            260.3	               22	            114.3	             22.3
            1.0	           39.1	                 764	           -160.0	          3.7	             87	            -22.4	            254.3	               28	            114.0	             17.5
            1.0	           39.1	                 768	           -160.0	          2.7	             77	            -28.1	            244.9	               23	            115.3	             12.6
            1.0	           39.1	                 772	           -160.0	          1.9	             86	            -18.9	            245.2	               31	            120.6	             19.6
            2.0	           40.0	                 133	            -66.2	          1.4	             77	            -23.5	            256.8	               24	             95.3	              8.7
            2.0	           40.0	                 136	            -68.7	          3.9	             69	            -19.1	            243.3	               59	             98.7	              1.4
            2.0	           40.0	                 138	            -69.6	          5.5	             73	            -20.3	            243.7	               27	             99.2	             10.1
            2.0	           40.0	                 141	            -71.6	          6.1	             77	            -20.1	            258.9	               23	             96.4	              8.9
            2.0	           40.0	                 146	            -77.7	          2.6	             64	            -17.6	            255.4	               40	            100.2	              7.3
            2.0	           40.0	                 150	            -68.3	          1.5	             66	            -17.7	            246.6	               38	             98.0	              4.4
            2.0	           40.0	                 153	            -77.5	          6.0	             74	            -21.5	            252.1	               23	             98.5	             13.8
            2.0	           40.0	                 158	            -76.0	          4.5	             59	            -16.3	            241.0	               39	            104.0	              4.2
            2.0	           40.0	                 162	            -68.4	          1.7	             66	            -21.2	            258.9	               40	             98.2	              4.0
            2.0	           40.0	                 165	            -88.1	          0.1	             72	            -20.6	            249.9	               20	            103.1	             18.2
            2.0	           40.0	                 170	            -75.6	          3.7	             70	            -21.4	            248.4	               31	            101.2	             16.7
            2.0	           40.0	                 174	            -73.9	          3.1	             79	            -20.8	            270.1	               28	            103.6	              8.5
            2.0	           40.0	                 179	            -91.9	          5.1	             84	            -20.7	            245.1	               32	            113.8	             29.0
            2.0	           40.0	                 182	            -77.3	          1.3	             74	            -23.4	            252.6	                1	            107.2	              6.5
            2.0	           40.0	                 188	            -86.0	          0.7	             54	            -21.6	            275.0	               31	            115.8	              5.7
            2.0	           40.0	                 192	            -83.9	          2.4	             67	            -23.5	            270.7	               27	            111.8	             20.4
            2.0	           40.0	                 197	            -83.4	          5.2	             75	            -21.2	            256.0	               24	             95.9	             10.4
            2.0	           40.0	                 201	            -79.7	          1.9	             64	            -21.5	            247.2	               20	            108.2	             25.3
            2.0	           40.0	                 206	            -78.3	          5.8	             65	            -16.5	            254.5	               27	            106.8	             24.7
            2.0	           40.0	                 212	            -89.8	          4.6	             78	            -22.9	            242.1	               47	            117.7	             36.0
            2.0	           40.0	                 215	            -87.1	          3.3	             65	            -24.4	            242.8	               15	            112.8	             19.3
            2.0	           40.0	                 220	            -91.5	          5.6	             82	            -20.2	            238.0	               19	            117.4	             40.2
            2.0	           40.0	                 225	            -84.5	          6.2	             66	            -23.7	            272.4	               33	            112.7	             22.5
            2.0	           40.0	                 230	            -89.6	          0.8	             63	            -26.7	            270.9	               24	            115.1	             20.6
            2.0	           40.0	                 236	            -94.9	          4.9	             66	            -19.1	            246.5	               46	            107.0	             12.1
            2.0	           40.0	                 310	           -109.9	          2.0	             77	            -25.1	            251.7	               28	            100.3	             15.3
            2.0	           40.0	                 312	            -95.6	          0.0	             71	            -16.5	            250.1	               14	            116.0	             53.0
            2.0	           40.0	                 315	           -102.8	          2.2	             68	            -18.8	            264.3	               13	            121.1	             45.3
            2.0	           40.0	                 319	           -101.2	          3.9	             67	            -26.2	            256.4	               26	            108.3	             25.1
            2.0	           40.0	                 323	           -109.6	          1.2	             68	            -19.7	            246.2	               38	             99.4	              5.7
            2.0	           40.0	                 326	            -94.5	          0.5	             79	            -24.8	            249.3	               27	            102.7	             19.8
            2.0	           40.0	                 329	            -97.5	          6.0	             61	            -20.5	            250.4	                9	            121.4	             66.9
            2.0	           40.0	                 334	           -103.0	          4.3	             74	            -21.8	            251.4	               31	            102.9	             19.7
            2.0	           40.0	                 337	           -109.7	          4.1	             76	            -23.8	            265.6	               31	            106.7	             20.6
            2.0	           40.0	                 341	           -100.6	          2.9	             75	            -19.6	            241.8	               36	            108.1	             19.1
            2.0	           40.0	                 345	            -99.1	          4.2	             77	            -21.6	            247.2	               28	            101.5	             16.9
            2.0	           40.0	                 349	           -118.7	          4.8	             65	            -26.0	            255.0	               28	            110.3	             28.4
            2.0	           40.0	                 353	           -115.9	          1.0	             71	            -26.1	            263.5	               34	            110.0	             17.3
            2.0	           40.0	                 357	           -106.3	          6.1	             57	            -22.4	            262.6	               35	            113.0	             15.2
            2.0	           40.0	                 361	           -105.2	          4.7	             67	            -21.2	            245.3	               28	            102.9	             18.7
            2.0	           40.0	                 365	           -120.2	          5.5	             64	            -24.3	            246.9	               35	            103.7	              8.2
            2.0	           40.0	                 369	           -110.1	          1.0	             63	            -21.6	            259.9	               21	            117.0	             36.9
            2.0	           40.0	                 373	           -114.4	          1.1	             84	            -20.2	            250.4	               28	            108.3	             21.4
            2.0	           40.0	                 377	           -118.4	          0.9	             83	            -24.6	            267.6	               30	            109.0	             13.6
            2.0	           40.0	                 382	           -113.2	          2.1	             66	            -19.9	            246.7	               27	            104.6	             23.2
            2.0	           40.0	                 386	           -114.7	          2.1	             65	            -25.7	            245.0	               33	            107.2	             12.7
            2.0	           40.0	                 390	           -117.2	          1.5	             74	            -19.7	            241.4	               28	            100.5	              8.8
            2.0	           40.0	                 394	           -128.7	          6.3	             77	            -15.9	            275.8	               36	            119.2	             14.1
            2.0	           40.0	                 509	           -124.5	          1.1	             67	            -23.4	            250.7	               30	            104.4	             18.5
            2.0	           40.0	                 511	           -138.8	          4.1	             61	            -22.3	            251.8	               18	            113.4	             17.4
