T-R Separation Distance (m)	Received Power (dBm)	Path Loss (dB)	RMS Delay Spread (ns)	K-Factor (dB)	
           39.1	                    -59.8	           89.8	           15.0	                -1.0
           40.0	                    -59.8	           89.8	           19.1	                -5.2
           40.8	                    -59.8	           89.8	           14.9	                 0.9
           41.7	                    -59.9	           89.9	           17.8	                -5.4
           42.6	                    -59.7	           89.7	           17.2	                -4.1
           43.4	                    -59.3	           89.3	           17.7	                -5.2
           44.3	                    -59.5	           89.5	           16.3	                -3.8
           45.2	                    -59.3	           89.3	           21.3	                -3.7
           46.1	                    -59.1	           89.1	           17.0	                -3.4
           47.0	                    -59.1	           89.1	           18.8	                 1.9
           47.8	                    -59.2	           89.2	           17.8	                 2.0
           48.7	                    -59.1	           89.1	           10.0	                 4.0
           49.6	                    -58.8	           88.8	           14.5	                -2.3
           50.5	                    -59.0	           89.0	            8.4	                 3.7
           51.5	                    -58.8	           88.8	           17.4	                -5.3
           52.4	                    -59.0	           89.0	           21.2	                -3.6
           53.3	                    -59.1	           89.1	           12.6	                -4.9
           54.2	                    -59.2	           89.2	           17.0	                -6.2
           55.1	                    -59.4	           89.4	           20.0	                -6.0
           56.0	                    -59.4	           89.4	           15.8	                 0.3
           57.0	                    -59.6	           89.6	           19.7	                 0.0
           57.9	                    -59.6	           89.6	           26.9	                -2.9
           58.8	                    -59.2	           89.2	           24.3	                 1.7
           59.8	                    -59.3	           89.3	           17.2	                -0.8
           60.7	                    -59.1	           89.1	           20.3	                -2.7
           61.6	                    -58.7	           88.7	           19.2	                -5.3
           62.6	                    -58.4	           88.4	           17.3	                -1.6
           63.5	                    -58.5	           88.5	           17.0	                -0.2
           64.5	                    -58.2	           88.2	           21.2	                 0.4
           65.4	                    -58.1	           88.1	           17.4	                -4.2
           66.3	                    -58.3	           88.3	           16.5	                -4.2
           67.3	                    -58.1	           88.1	            5.2	                -3.7
           68.2	                    -57.9	           87.9	           18.4	                -6.1
           69.2	                    -57.6	           87.6	           19.7	                -3.3
           70.1	                    -57.7	           87.7	           15.7	                -4.4
           71.1	                    -57.5	           87.5	            8.0	                 5.5
           72.1	                    -57.3	           87.3	           18.2	                -4.7
           73.0	                    -57.4	           87.4	           18.1	                -6.8
           74.0	                    -57.5	           87.5	           13.6	                -1.2
           74.9	                    -57.6	           87.6	           12.3	                -3.0
